Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
238566409,15FD0616,true,Rx,0,8,01,C1,70,FF,FF,FF,FF,FF,
241055996,15FD0816,true,Rx,0,8,01,01,04,A3,C0,FF,FF,FF,
241056672,15FD0716,true,Rx,0,8,01,C4,07,C1,FF,7F,FF,FF,
241067346,15FD0616,true,Rx,0,8,01,C1,70,FF,FF,FF,FF,FF,
243556927,15FD0816,true,Rx,0,8,01,01,04,6B,C1,FF,FF,FF,
243557437,15FD0716,true,Rx,0,8,01,C4,CF,C1,FF,7F,FF,FF,
243568220,15FD0616,true,Rx,0,8,01,C1,70,FF,FF,FF,FF,FF,
243568875,1DF01116,true,Rx,0,8,60,EA,00,FF,FF,FF,FF,FF,
246057829,15FD0816,true,Rx,0,8,01,01,04,33,C2,FF,FF,FF,
246058335,15FD0716,true,Rx,0,8,01,C4,97,C2,FF,7F,FF,FF,
246069150,15FD0616,true,Rx,0,8,01,C1,70,FF,FF,FF,FF,FF,
248558759,15FD0816,true,Rx,0,8,01,01,04,FB,C2,FF,FF,FF,
248559250,15FD0716,true,Rx,0,8,01,C4,5F,C3,FF,7F,FF,FF,
248570018,15FD0616,true,Rx,0,8,01,C1,70,FF,FF,FF,FF,FF,
251059710,15FD0816,true,Rx,0,8,01,01,04,C3,C3,FF,FF,FF,
251060174,15FD0716,true,Rx,0,8,01,C4,27,C4,FF,7F,FF,FF,
251070938,15FD0616,true,Rx,0,8,01,C1,70,FF,FF,FF,FF,FF,
253560500,15FD0816,true,Rx,0,8,01,01,04,8B,C4,FF,FF,FF,
253561075,15FD0716,true,Rx,0,8,01,C4,EF,C4,FF,7F,FF,FF,
253571906,15FD0616,true,Rx,0,8,01,C1,70,FF,FF,FF,FF,FF,
256061445,15FD0816,true,Rx,0,8,01,01,04,53,C5,FF,FF,FF,
256061966,15FD0716,true,Rx,0,8,01,C4,B7,C5,FF,7F,FF,FF,
256072815,15FD0616,true,Rx,0,8,01,C1,70,FF,FF,FF,FF,FF,
258562340,15FD0816,true,Rx,0,8,01,01,04,1B,C6,FF,FF,FF,
258562915,15FD0716,true,Rx,0,8,01,C4,7F,C6,FF,7F,FF,FF,
258573720,15FD0616,true,Rx,0,8,01,C1,70,FF,FF,FF,FF,FF,
261063265,15FD0816,true,Rx,0,8,01,01,04,E3,C6,FF,FF,FF,
261063847,15FD0716,true,Rx,0,8,01,C4,47,C7,FF,7F,FF,FF,
261074572,15FD0616,true,Rx,0,8,01,C1,70,FF,FF,FF,FF,FF,
263564136,15FD0816,true,Rx,0,8,01,01,04,AB,C7,FF,FF,FF,
263564756,15FD0716,true,Rx,0,8,01,C4,0F,C8,FF,7F,FF,FF,
263575473,15FD0616,true,Rx,0,8,01,C1,70,FF,FF,FF,FF,FF,
266065051,15FD0816,true,Rx,0,8,01,01,04,73,C8,FF,FF,FF,
266065659,15FD0716,true,Rx,0,8,01,C4,D7,C8,FF,7F,FF,FF,
266076383,15FD0616,true,Rx,0,8,01,C1,70,FF,FF,FF,FF,FF,
268565952,15FD0816,true,Rx,0,8,01,01,04,3B,C9,FF,FF,FF,
268566543,15FD0716,true,Rx,0,8,01,C4,9F,C9,FF,7F,FF,FF,
268577268,15FD0616,true,Rx,0,8,01,C1,70,FF,FF,FF,FF,FF,
271066890,15FD0816,true,Rx,0,8,01,01,04,03,CA,FF,FF,FF,
271067419,15FD0716,true,Rx,0,8,01,C4,67,CA,FF,7F,FF,FF,
271078189,15FD0616,true,Rx,0,8,01,C1,70,FF,FF,FF,FF,FF,
273567717,15FD0816,true,Rx,0,8,01,01,04,CB,CA,FF,FF,FF,
273568294,15FD0716,true,Rx,0,8,01,C4,2F,CB,FF,7F,FF,FF,
273579103,15FD0616,true,Rx,0,8,01,C1,70,FF,FF,FF,FF,FF,
276068642,15FD0816,true,Rx,0,8,01,01,04,93,CB,FF,FF,FF,
276069193,15FD0716,true,Rx,0,8,01,C4,F7,CB,FF,7F,FF,FF,
276080016,15FD0616,true,Rx,0,8,01,C1,70,FF,FF,FF,FF,FF,
278569590,15FD0816,true,Rx,0,8,01,01,04,5B,CC,FF,FF,FF,
278570129,15FD0716,true,Rx,0,8,01,C4,BF,CC,FF,7F,FF,FF,
278580942,15FD0616,true,Rx,0,8,01,C1,70,FF,FF,FF,FF,FF,
281070498,15FD0816,true,Rx,0,8,01,01,04,23,CD,FF,FF,FF,
281071034,15FD0716,true,Rx,0,8,01,C4,87,CD,FF,7F,FF,FF,
281081839,15FD0616,true,Rx,0,8,01,C1,70,FF,FF,FF,FF,FF,
283571386,15FD0816,true,Rx,0,8,01,01,04,EB,CD,FF,FF,FF,
283571984,15FD0716,true,Rx,0,8,01,C4,4F,CE,FF,7F,FF,FF,
283582766,15FD0616,true,Rx,0,8,01,C1,70,FF,FF,FF,FF,FF,
286072284,15FD0816,true,Rx,0,8,01,01,04,B3,6A,FF,FF,FF,
286072911,15FD0716,true,Rx,0,8,01,C4,17,6B,FF,7F,FF,FF,
286083606,15FD0616,true,Rx,0,8,01,C1,70,FF,FF,FF,FF,FF,
288573206,15FD0816,true,Rx,0,8,01,01,04,7B,6B,FF,FF,FF,
288573758,15FD0716,true,Rx,0,8,01,C4,DF,6B,FF,7F,FF,FF,
288584513,15FD0616,true,Rx,0,8,01,C1,70,FF,FF,FF,FF,FF,
291074084,15FD0816,true,Rx,0,8,01,01,04,43,6C,FF,FF,FF,
291074660,15FD0716,true,Rx,0,8,01,C4,A7,6C,FF,7F,FF,FF,
291085472,15FD0616,true,Rx,0,8,01,C1,70,FF,FF,FF,FF,FF,
293575021,15FD0816,true,Rx,0,8,01,01,04,0B,6D,FF,FF,FF,
293575561,15FD0716,true,Rx,0,8,01,C4,6F,6D,FF,7F,FF,FF,
293586331,15FD0616,true,Rx,0,8,01,C1,70,FF,FF,FF,FF,FF,
296075968,15FD0816,true,Rx,0,8,01,01,04,D3,6D,FF,FF,FF,
296076462,15FD0716,true,Rx,0,8,01,C4,37,6E,FF,7F,FF,FF,
296087221,15FD0616,true,Rx,0,8,01,C1,70,FF,FF,FF,FF,FF,
298576814,15FD0816,true,Rx,0,8,01,01,04,9B,6E,FF,FF,FF,
298577354,15FD0716,true,Rx,0,8,01,C4,FF,6E,FF,7F,FF,FF,
298588169,15FD0616,true,Rx,0,8,01,C1,70,FF,FF,FF,FF,FF,
301077745,15FD0816,true,Rx,0,8,01,01,04,63,6F,FF,FF,FF,
301078296,15FD0716,true,Rx,0,8,01,C4,C7,6F,FF,7F,FF,FF,
301089072,15FD0616,true,Rx,0,8,01,C1,70,FF,FF,FF,FF,FF,
303566662,1DF01116,true,Rx,0,8,60,EA,00,FF,FF,FF,FF,FF,
303578596,15FD0816,true,Rx,0,8,01,01,04,2B,70,FF,FF,FF,
303579155,15FD0716,true,Rx,0,8,01,C4,8F,70,FF,7F,FF,FF,
303589948,15FD0616,true,Rx,0,8,01,C1,70,FF,FF,FF,FF,FF,
306079509,15FD0816,true,Rx,0,8,01,01,04,F3,70,FF,FF,FF,
306080181,15FD0716,true,Rx,0,8,01,C4,57,71,FF,7F,FF,FF,
306090882,15FD0616,true,Rx,0,8,01,C1,70,FF,FF,FF,FF,FF,
308580470,15FD0816,true,Rx,0,8,01,01,04,BB,71,FF,FF,FF,
308581017,15FD0716,true,Rx,0,8,01,C4,1F,72,FF,7F,FF,FF,
308591766,15FD0616,true,Rx,0,8,01,C1,70,FF,FF,FF,FF,FF,
311081375,15FD0816,true,Rx,0,8,01,01,04,83,72,FF,FF,FF,
311081925,15FD0716,true,Rx,0,8,01,C4,E7,72,FF,7F,FF,FF,
311092679,15FD0616,true,Rx,0,8,01,C1,70,FF,FF,FF,FF,FF,
313582250,15FD0816,true,Rx,0,8,01,01,04,4B,73,FF,FF,FF,
313582821,15FD0716,true,Rx,0,8,01,C4,AF,73,FF,7F,FF,FF,
313593643,15FD0616,true,Rx,0,8,01,C1,70,FF,FF,FF,FF,FF,
316083180,15FD0816,true,Rx,0,8,01,01,04,13,74,FF,FF,FF,
316083762,15FD0716,true,Rx,0,8,01,C4,77,74,FF,7F,FF,FF,
316094497,15FD0616,true,Rx,0,8,01,C1,70,FF,FF,FF,FF,FF,
318584110,15FD0816,true,Rx,0,8,01,01,04,DB,74,FF,FF,FF,
318584643,15FD0716,true,Rx,0,8,01,C4,3F,75,FF,7F,FF,FF,
318595394,15FD0616,true,Rx,0,8,01,C1,70,FF,FF,FF,FF,FF,
321084978,15FD0816,true,Rx,0,8,01,01,04,A3,75,FF,FF,FF,
321085531,15FD0716,true,Rx,0,8,01,C4,07,76,FF,7F,FF,FF,
321096333,15FD0616,true,Rx,0,8,01,C1,70,FF,FF,FF,FF,FF,
323585893,15FD0816,true,Rx,0,8,01,01,04,6B,76,FF,FF,FF,
323586455,15FD0716,true,Rx,0,8,01,C4,CF,76,FF,7F,FF,FF,
323597222,15FD0616,true,Rx,0,8,01,C1,70,FF,FF,FF,FF,FF,
326086760,15FD0816,true,Rx,0,8,01,01,04,33,77,FF,FF,FF,
326087325,15FD0716,true,Rx,0,8,01,C4,97,77,FF,7F,FF,FF,
